Judul,Perusahaan,Lokasi,Jurusan
Perawat,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,"Jalan Let. Jend. S. Parman Kav. 87, Palmerah, Jakarta Barat, DKI Jakarta 11420, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Keperawatan, Keperawatan"
Asisten Kurator Katalog Elektronik - D23,Lembaga Kebijakan Pengadaan Barang /Jasa Pemerintah,"Kompleks Rasuna Epicentrum, Jalan Epicentrum Tengah Lot 11B, Karet Kuningan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Sipil, Hukum, Informatika, Akuntansi, Statistik"
Internship Assistant - Data Analytic,PT Bank Rakyat Indonesia (Persero) Tbk,"Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika, Matematika, Sains Data, Statistika dan Sains Data, Aktuaria"
ANALISIS HUKUM BIDANG PEMASYARAKATAN,Direktorat Jenderal Pemasyarakatan,"Jalan Veteran Nomor 11, Gambir, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hukum, Hukum  Pidana/Jinayah, Hukum Administrasi Negara, Ilmu Hukum"
Penata Layanan Operasional,Kementerian Kebudayaan,"Jalan Jenderal Sudirman, Komplek Kemendikbud Gedung E Senayan, Jakarta. 10270., KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Pemerintahan, Antropologi, Arkeologi, Desain Komunikasi Visual, Manajemen Informatika"
Internship Assistant - Business Support,PT Bank Rakyat Indonesia (Persero) Tbk,"Gedung BRI Jl. Jenderal Sudirman Kav.44-46 Jakarta 10210 Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Akuntansi, Ilmu Komunikasi, Ilmu Hukum, Ekonomi"
Customer Development,PT Nutrifood Indonesia (Head Office Jakarta),"Jalan Rawabali II No.3, Kawasan Industri Pulogadung, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen, Manajemen Pemasaran/Marketing, Bisnis, Ilmu  dan Teknologi Pangan, Teknik Industri"
Junior Sales Representative - Area Jakarta Fatmawati,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Keuangan Dan Perbankan, Ekonomi, Akuntansi, Administrasi Keuangan"
Back Office - Region Jakarta 2,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Akuntansi, Ekonomi, Ekonomi Islam, Administrasi Bisnis"
Corporate General Management Staff 1,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
Back Office,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Ilmu Komunikasi, Ekonomi Islam, Ilmu Hukum, sistem informasi"
Junior Sales Representative - Area Jakarta Pondok Indah,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
Staff Administrasi Umum,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Akuntansi, Ekonomi, Ekonomi Syariah, Teknik Informatika"
Administrasi Rumah Sakit,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Administrasi Rumah Sakit
Content Management,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Desain Produk, Desain Komunikasi Visual, Ilmu Komputer, Arsitektur, Pemasaran Digital"
Super Internship Program,PT Super Bank Indonesia,"Revenue Tower, 28-29th floor, SCBD, Lot 13 District 8, Jl. Jend. Sudirman Kav. 52-53, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","sistem informasi, Manajemen, Ekonomi, Matematika, Teknik Industri"
Pengelola Data,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kesehatan Masyarakat
Administrasi Pembiayaan,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Keuangan, Administrasi Publik, Keuangan Dan Perbankan, Statistika, Administrasi Perpajakan"
Junior Sales Representative - Area Jakarta Saharjo,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
Corporate General Management Staff 2,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
Junior Sales Representative - Area Jakarta Pondok Indah,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Keuangan Dan Perbankan, Ekonomi, Akuntansi"
IT & Digital Operations Staff 1,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika, Statistik"
IT & Digital Operations Staff 2,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komputer, Teknik Komputer, Teknik Informatika, Manajemen Informatika, Statistik"
Education Consultant,Merry Riana Edukasi,"Soho Capital lantai 42 unit 4201-4203 Podomoro City, Jl S Parman Kav 28 Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen Pemasaran/Marketing, Manajemen Pemasaran, Pemasaran Digital, Pendidikan Non Formal, Ilmu Komunikasi"
Operation & Customer Experience,Pembangunan Jaya Ancol,"JL. LODAN TIMUR NO. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Manajemen Pariwisata, Perhotelan, Seni Kuliner dan Pengelolaan Jasa Makanan, Ilmu Komunikasi, Usaha Perjalanan Wisata"
Junior Sales Representative - Area Jakarta Kebon Jeruk,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Kelapa Gading,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Rawamangun,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Junior Sales Representative - Area Jakarta Thamrin,Bank Syariah Indonesia,"Gedung The Tower, Jl. Gatot Subroto No. 27 Kelurahan Karet Semanggi, Kecamatan Setiabudi,  Jakarta Selatan 12930, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Bisnis, Administrasi Keuangan, Perbankan Dan Keuangan, Akuntansi, Ekonomi Islam"
Corporate General Management Staff 3,PT Bank Negara Indonesia (Persero) Tbk,"Jl Jend Sudirman Kav 1 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen, Administrasi Bisnis, Teknik Sipil"
